feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,target
0.72,1.15,-0.33,0.58,-1.02,0.11,0
-1.23,0.44,0.88,-0.67,1.34,-0.22,1
0.51,-1.12,0.74,1.09,-0.56,0.63,2
-0.68,0.92,-1.25,0.35,0.17,-0.84,0
1.08,-0.57,0.41,-0.93,0.62,0.28,1
-0.45,0.73,-0.58,1.21,-0.37,-0.66,2
0.96,-1.34,0.22,0.44,-0.18,0.91,0
-0.12,1.07,-0.94,-0.56,0.48,-0.33,1
0.39,-0.85,1.18,0.72,-0.73,0.54,2
-1.05,0.61,-0.27,-0.14,0.95,-0.41,0
0.87,-0.49,0.66,-1.08,0.23,0.35,1
-0.58,1.24,-0.63,0.81,-0.42,-0.77,2
1.14,-0.72,0.34,-0.52,0.19,0.48,0
-0.33,0.88,-1.07,0.67,0.54,-0.29,1
0.62,-1.19,0.97,0.38,-0.68,0.71,2
-0.91,0.55,-0.14,-0.27,1.02,-0.53,0
1.21,-0.63,0.59,-0.87,0.31,0.17,1
-0.74,1.18,-0.86,0.94,-0.51,-0.62,2
0.48,-0.98,1.12,0.63,-0.81,0.46,0
-1.17,0.36,-0.48,-0.05,0.88,-0.38,1
0.79,-0.41,0.53,-0.99,0.27,0.24,2
-0.52,1.03,-0.71,0.76,-0.47,-0.58,0
1.06,-0.78,0.28,-0.61,0.12,0.39,1
-0.38,0.95,-1.11,0.52,0.66,-0.21,2
0.67,-1.07,0.83,0.49,-0.59,0.68,0
-0.99,0.47,-0.32,-0.19,1.11,-0.45,1
0.93,-0.53,0.71,-1.02,0.36,0.31,2
-0.61,1.11,-0.79,0.88,-0.33,-0.64,0
1.17,-0.69,0.46,-0.73,0.15,0.42,1
-0.42,0.82,-1.16,0.64,0.58,-0.27,2
